"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 19:38:46 IST 2023","Fri Nov 24 19:38:59 IST 2023","13013","Default Suite","AutomationRAATB4x","org.example.Oct21.RestAssured.CRUD.INTSC.INT01","org.example.Oct21.RestAssured.CRUD.INTSC.INT01","Int","Int",""
"passed","Fri Nov 03 11:59:40 IST 2023","Fri Nov 03 11:59:42 IST 2023","2386","Default Suite","AutomationRAATB4x","org.example.Oct21.RestAssured.CRUD.POST.RA_POST_Non_BDD_STYLE","org.example.Oct21.RestAssured.CRUD.POST.RA_POST_Non_BDD_STYLE","PostRequest2","PostRequest2",""
"passed","Wed Nov 22 13:16:00 IST 2023","Wed Nov 22 13:16:00 IST 2023","0","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.Oct15.testNGExample.testNG001","org.example.Oct15.testNGExample.testNG001","Test2","Test2",""
"passed","Wed Nov 22 18:49:25 IST 2023","Wed Nov 22 18:49:30 IST 2023","4636","Default Suite","AutomationRAATB4x","org.example.Oct21.RestAssured.CRUD.POST.POST_TRY","org.example.Oct21.RestAssured.CRUD.POST.POST_TRY","postRequest1","postRequest1",""
"passed","Fri Oct 20 13:49:42 IST 2023","Fri Oct 20 13:49:44 IST 2023","1382","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.Oct15.RestAssured.RA001","org.example.Oct15.RestAssured.RA001","getRequest_Positive","getRequest_Positive",""
"passed","Fri Oct 27 15:46:12 IST 2023","Fri Oct 27 15:46:17 IST 2023","4815","Default Suite","AutomationRAATB4x","org.example.Oct21.RestAssured.CRUD.POST.RA_POST_Non_BDD_STYLE","org.example.Oct21.RestAssured.CRUD.POST.RA_POST_Non_BDD_STYLE","postRequest","postRequest",""
"passed","Thu Oct 26 22:50:17 IST 2023","Thu Oct 26 22:50:20 IST 2023","3403","Default Suite","AutomationRAATB4x","org.example.Oct15.RestAssured.RA001","org.example.Oct15.RestAssured.RA001","postRequest","postRequest",""
"passed","Fri Nov 03 11:59:35 IST 2023","Fri Nov 03 11:59:40 IST 2023","4544","Default Suite","AutomationRAATB4x","org.example.Oct21.RestAssured.CRUD.POST.RA_POST_Non_BDD_STYLE","org.example.Oct21.RestAssured.CRUD.POST.RA_POST_Non_BDD_STYLE","PostRequest1","PostRequest1",""
"passed","Wed Nov 22 13:16:00 IST 2023","Wed Nov 22 13:16:00 IST 2023","6","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.Oct15.testNGExample.testNG001","org.example.Oct15.testNGExample.testNG001","Test1","Test1",""
"passed","Fri Oct 20 13:05:57 IST 2023","Fri Oct 20 13:06:01 IST 2023","3649","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.RATestNG","org.example.RATestNG","getRequest","getRequest",""
"failed","Fri Oct 20 13:49:44 IST 2023","Fri Oct 20 13:49:45 IST 2023","1430","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.Oct15.RestAssured.RA001","org.example.Oct15.RestAssured.RA001","getRequest_Negative","getRequest_Negative",""
"passed","Fri Nov 24 11:48:44 IST 2023","Fri Nov 24 11:48:58 IST 2023","14414","Default Suite","AutomationRAATB4x","POJO.org.example.Oct21.RestAssured.MISC.RA002_CRUD","POJO.org.example.Oct21.RestAssured.MISC.RA002_CRUD","postRequest","postRequest",""
"passed","Thu Nov 23 20:23:55 IST 2023","Thu Nov 23 20:24:00 IST 2023","5407","Default Suite","AutomationRAATB4x","POJO.org.example.Oct21.RestAssured.MISC.RA_POJO","POJO.org.example.Oct21.RestAssured.MISC.RA_POJO","authRequest","authRequest",""
"passed","Wed Nov 22 16:12:48 IST 2023","Wed Nov 22 16:12:48 IST 2023","11","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.Oct15.testNGExample.testNG004","org.example.Oct15.testNGExample.testNG004","Test1","Test1",""
"failed","Wed Nov 22 13:41:15 IST 2023","Wed Nov 22 13:41:15 IST 2023","35","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.Oct15.testNGExample.testNG003","org.example.Oct15.testNGExample.testNG003","test1","test1",""
"passed","Fri Nov 24 11:05:00 IST 2023","Fri Nov 24 11:05:10 IST 2023","10337","Default Suite","AutomationRAATB4x","org.example.RestAssured.MISC.POJO.RA002","org.example.RestAssured.MISC.POJO.RA002","postRequest","postRequest",""
"passed","Wed Nov 22 12:41:45 IST 2023","Wed Nov 22 12:41:45 IST 2023","4","Default Suite","AutomationRAATB4x","org.example.Oct15.testNGExample.testNG004","org.example.Oct15.testNGExample.testNG004","Test3","Test3",""
"passed","Wed Nov 22 12:23:17 IST 2023","Wed Nov 22 12:23:17 IST 2023","0","Default Suite","AutomationRAATB4x","org.example.Oct15.testNGExample.AllAnnotations","org.example.Oct15.testNGExample.AllAnnotations","Test2","Test2",""
"passed","Wed Nov 22 12:51:21 IST 2023","Wed Nov 22 12:51:21 IST 2023","12","Default Suite","AutomationRAATB4x","org.example.Oct15.testNGExample.testNG002","org.example.Oct15.testNGExample.testNG002","test","test",""
"passed","Thu Nov 23 13:13:23 IST 2023","Thu Nov 23 13:13:29 IST 2023","5898","Default Suite","AutomationRAATB4x","org.example.Oct21.RestAssured.MISC.RA001","org.example.Oct21.RestAssured.MISC.RA001","postRequest","postRequest",""
"passed","Wed Nov 22 18:49:30 IST 2023","Wed Nov 22 18:49:32 IST 2023","1589","Default Suite","AutomationRAATB4x","org.example.Oct21.RestAssured.CRUD.POST.POST_TRY","org.example.Oct21.RestAssured.CRUD.POST.POST_TRY","postRequest2","postRequest2",""
"passed","Thu Nov 23 20:30:32 IST 2023","Thu Nov 23 20:30:36 IST 2023","4326","Default Suite","AutomationRAATB4x","org.example.Oct21.RestAssured.CRUD.POST.RA_POST_BDD_STYLE","org.example.Oct21.RestAssured.CRUD.POST.RA_POST_BDD_STYLE","postRequest","postRequest",""
"passed","Wed Nov 22 16:12:48 IST 2023","Wed Nov 22 16:12:48 IST 2023","2","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.Oct15.testNGExample.testNG004","org.example.Oct15.testNGExample.testNG004","Test2","Test2",""
"passed","Wed Nov 22 18:52:37 IST 2023","Wed Nov 22 18:52:48 IST 2023","11156","All Test Suite","C:/Users/rahul/IdeaProjects/AutomationRAATB4x","org.example.Oct21.RestAssured.CRUD.PUT.PUT_REQUEST","org.example.Oct21.RestAssured.CRUD.PUT.PUT_REQUEST","putRequest","putRequest",""
"passed","Wed Nov 22 12:23:17 IST 2023","Wed Nov 22 12:23:17 IST 2023","5","Default Suite","AutomationRAATB4x","org.example.Oct15.testNGExample.AllAnnotations","org.example.Oct15.testNGExample.AllAnnotations","Test1","Test1",""
